position,player_name,overall,position_score,value_eur,club,nationality,age
GK,Alisson,89,50,51000000.0,Liverpool,Brazil,32
LB,J. Gvardiol,84,50,53500000.0,Manchester City,Croatia,23
CB,J. Stones,82,50,21000000.0,Manchester City,England,31
CB,Murillo,83,50,47500000.0,Nottingham Forest,Brazil,22
RB,Pedro Porro,82,50,37000000.0,Tottenham Hotspur,Spain,25
CM,Joelinton,82,50,30500000.0,Newcastle United,Brazil,28
CM,F. de Jong,87,50,79500000.0,FC Barcelona,Netherlands,28
CM,Lucas Paquetá,80,50,22500000.0,West Ham United,Brazil,27
LW,Gabriel Martinelli,81,50,35000000.0,Arsenal,Brazil,24
ST,Evanilson,80,50,28500000.0,AFC Bournemouth,Brazil,25
RW,J. Frimpong,83,50,43500000.0,Liverpool,Netherlands,24
